meta,sender,sender_type,sender_id,Order,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,participant_L1,university_level,age,gender,gender_other,try-out_answer_L2,try-out_answer_L1,beach1_answer_L2,beach1_answer_L1,street1_answer_L2,street1_answer_L1,farm1_answer_L2,farm1_answer_L1,beach2_answer_L2,beach2_answer_L1,street2_answer_L2,street2_answer_L1,farm2_answer_L2,farm2_answer_L1,park1_answer_L2,park1_answer_L1,park2_answer_L2,park2_answer_L1
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/klassikaal_3/6565d2cbfa275e2b7bded242"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Safari/605.1.15"",""platform"":""MacIntel"",""language"":""en-GB"",""locale"":""en-GB"",""timeZone"":""Europe/Brussels"",""timezoneOffset"":-60,""screen_width"":1440,""screen_height"":900,""scroll_width"":1440,""scroll_height"":800,""window_innerWidth"":1440,""window_innerHeight"":848,""devicePixelRatio"":1}",ID,html.Page,0,4,,form submission,2378,2704,2725,2743,5121,5122,2023-12-04T10:11:56.254Z,5158,bkzT39immW,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,pseudonym naar keuze,153973,,,,,,,,,,,,,,,,,,,,,,,
,language,html.Page,1,,,form submission,8446.000000000002,5123,5142,5158,13604.000000000002,13604.000000000002,2023-12-04T10:12:04.737Z,13625,bkzT39immW,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,pseudonym naar keuze,,Nederlands,MA,,,,,,,,,,,,,,,,,,,,,
,age-gender,html.Page,2,,,form submission,7063,13605,13612,13625,20688,20688,2023-12-04T10:12:11.821Z,20726,bkzT39immW,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,pseudonym naar keuze,,,,21,v,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,3_0,,,form submission,124487,20688,20709,20726,145213,145213,2023-12-04T10:14:16.350Z,145277,bkzT39immW,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,pseudonym naar keuze,,,,,,,,,,,,,,,,,,,,,,,,
,try-out-image,html.Page,3_1,,,form submission,8987,145214,145219,145277,154264,154265.00000000003,2023-12-04T10:14:25.401Z,154284,bkzT39immW,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,pseudonym naar keuze,,,,,,,"twee eenden ",twee eenden,,,,,,,,,,,,,,,,
,answer,html.Page,3_2,,,form submission,70018,154265.00000000003,154268,154284,224302,224302,2023-12-04T10:15:35.492Z,224323,bkzT39immW,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,pseudonym naar keuze,,,,,,,,,,,,,,,,,,,,,,,,
,try-out,flow.Sequence,3,,,completion,203576,20688,20709,20726,224302,224304,2023-12-04T10:15:35.494Z,224323,bkzT39immW,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,pseudonym naar keuze,,,,,,,,,,,,,,,,,,,,,,,,
,prepare,html.Page,4_0,,,form submission,1147,224304,224307,224323,225470,225470,2023-12-04T10:15:36.660Z,225704,bkzT39immW,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,pseudonym naar keuze,,,,,,,,,,,,,,,,,,,,,,,,
,beach1-image,html.Page,4_1,,,form submission,11566,225470,225477,225704,237270,237270,2023-12-04T10:15:48.461Z,237307,bkzT39immW,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,pseudonym naar keuze,,,,,,,,,een visser,een visser,,,,,,,,,,,,,,
,answer,html.Page,4_2,,,form submission,35781,237271.00000000003,237290,237307,273088,273088,2023-12-04T10:16:24.279Z,273109,bkzT39immW,full,klassikaal_3,652fe10cdc68ac1c61cf9cec,participant,pseudonym naar keuze,,,,,,,,,,,,,,,,,,,,,,,,
