ID_participant	ID_partner	ID_group	ID_dyad	condition	g_unit_freq	g_phrase_freq	g_phrase_middle	gp_nonref	gp_icon	gp_metaph	gp_deixis_abstr	gp_deixis_conc	gp_conv	g_dur_total_sec	g_units_per_phrase	g_prop_units_middle
1210_1700_B	1210_1700_A	1210_1700	1210_1700_AB	L1-L1	17	12	2	0.18	0.06	0.53	0.18	0.06	0	21.351	1.42	0.12
1210_1700_B	1210_1700_C	1210_1700	1210_1700_CB	L1-L2	15	13	0	0	0.2	0.47	0.47	0.13	0.07	18.341	1.15	0
1210_1700_C	1210_1700_A	1210_1700	1210_1700_CA	L2-L1	10	8	0	0.7	0.1	0.2	0	0	0	9.563	1.25	0
1210_1700_C	1210_1700_B	1210_1700	1210_1700_CB	L2-L1	8	8	0	0.38	0	0.62	0.25	0	0	8.443	1	0
1210_1830_A	1210_1830_B	1210_1830	1210_1830_AB	L1-L1	15	15	0	0.8	0	0.2	0	0	0	14.464	1	0
1210_1830_A	1210_1830_C	1210_1830	1210_1830_CA	L1-L2	1	1	1	0	0	0	1	0	0	1.06	1	1
1210_1830_B	1210_1830_A	1210_1830	1210_1830_AB	L1-L1	21	19	0	0.57	0	0.33	0.19	0	0	23.411	1.11	0
1210_1830_B	1210_1830_C	1210_1830	1210_1830_CB	L1-L2	13	10	0	0.31	0	0.46	0.23	0.08	0	15.761	1.3	0
1210_1830_C	1210_1830_A	1210_1830	1210_1830_CA	L2-L1	14	12	0	0.21	0	0.71	0.36	0	0	21.292	1.17	0
1210_1830_C	1210_1830_B	1210_1830	1210_1830_CB	L2-L1	15	15	0	0.53	0	0.27	0.2	0.07	0	14.373	1	0
1310_1400_A	1310_1400_B	1310_1400	1310_1400_AB	L1-L2	38	23	8	0.24	0	0.47	0.5	0.05	0	39.926	1.65	0.21
1310_1400_A	1310_1400_C	1310_1400	1310_1400_CA	L1-L1	38	28	3	0.39	0	0.45	0.26	0	0	49.948	1.36	0.08
1310_1400_B	1310_1400_A	1310_1400	1310_1400_AB	L2-L1	9	9	0	0.22	0	0.56	0.22	0.11	0	11.542	1	0
1310_1400_B	1310_1400_C	1310_1400	1310_1400_CB	L2-L1	9	9	0	0.44	0.11	0.22	0.11	0	0.11	8.083	1	0
1310_1400_C	1310_1400_A	1310_1400	1310_1400_CA	L1-L1	13	12	0	0.23	0	0.46	0.31	0.15	0.08	13.908	1.08	0
1310_1400_C	1310_1400_B	1310_1400	1310_1400_CB	L1-L2	16	15	0	0.12	0	0.56	0.56	0	0.06	18.024	1.07	0
1310_1530_A	1310_1530_B	1310_1530	1310_1530_AB	L2-L1	33	25	2	0.15	0.03	0.48	0.39	0.06	0	52.395	1.32	0.06
1310_1530_A	1310_1530_C	1310_1530	1310_1530_CA	L2-L1	41	32	2	0.37	0.05	0.44	0.24	0.05	0	71.304	1.28	0.05
1310_1530_B	1310_1530_A	1310_1530	1310_1530_AB	L1-L2	18	12	3	0.33	0	0.5	0.28	0.06	0.06	28.971	1.5	0.17
1310_1530_B	1310_1530_C	1310_1530	1310_1530_CB	L1-L1	37	36	0	0.54	0	0.3	0.16	0.03	0	30.648	1.03	0
1310_1530_C	1310_1530_A	1310_1530	1310_1530_CA	L1-L2	35	27	4	0.34	0.06	0.49	0.29	0.09	0	44.336	1.3	0.11
1310_1530_C	1310_1530_B	1310_1530	1310_1530_CB	L1-L1	19	16	1	0.74	0	0.21	0.05	0	0	15.213	1.19	0.05
1310_1700_A	1310_1700_B	1310_1700	1310_1700_AB	L1-L1	32	22	6	0.44	0	0.47	0.16	0.03	0	29.85	1.45	0.19
1310_1700_A	1310_1700_C	1310_1700	1310_1700_CA	L1-L2	14	11	0	0.21	0	0.57	0.21	0	0	15.699	1.27	0
1310_1700_B	1310_1700_A	1310_1700	1310_1700_AB	L1-L1	19	17	1	0.21	0.05	0.42	0.11	0.26	0.05	19.457	1.12	0.05
1310_1700_B	1310_1700_C	1310_1700	1310_1700_CB	L1-L2	19	18	0	0.26	0	0.42	0.21	0.26	0	21.763	1.06	0
1310_1700_C	1310_1700_A	1310_1700	1310_1700_CA	L2-L1	26	22	1	0.19	0.04	0.54	0.38	0.08	0	43.438	1.18	0.04
1310_1700_C	1310_1700_B	1310_1700	1310_1700_CB	L2-L1	43	32	4	0.14	0	0.7	0.47	0	0.02	62.065	1.34	0.09
1410_1400_A	1410_1400_B	1410_1400	1410_1400_AB	L1-L1	52	27	14	0.21	0.1	0.56	0.38	0.06	0.04	75.912	1.93	0.27
1410_1400_A	1410_1400_C	1410_1400	1410_1400_CA	L1-L2	25	18	3	0.24	0	0.44	0.2	0.24	0	32.214	1.39	0.12
1410_1400_B	1410_1400_A	1410_1400	1410_1400_AB	L1-L1	31	23	2	0.1	0.06	0.65	0.19	0.16	0.1	46.225	1.35	0.06
1410_1400_B	1410_1400_C	1410_1400	1410_1400_CB	L1-L2	41	25	8	0.15	0	0.54	0.44	0.05	0	87.719	1.64	0.2
1410_1400_C	1410_1400_A	1410_1400	1410_1400_CA	L2-L1	31	19	4	0.35	0.03	0.32	0.16	0.16	0	49.423	1.63	0.13
1410_1400_C	1410_1400_B	1410_1400	1410_1400_CB	L2-L1	35	15	12	0.09	0.09	0.54	0.23	0.14	0.03	50.404	2.33	0.34
1410_1700_A	1410_1700_B	1410_1700	1410_1700_AB	L1-L1	18	16	0	0.17	0	0.67	0.22	0	0	21.57	1.12	0
1410_1700_A	1410_1700_C	1410_1700	1410_1700_CA	L1-L2	10	10	0	0.3	0	0.5	0.1	0.2	0	12.161	1	0
1410_1700_B	1410_1700_A	1410_1700	1410_1700_AB	L1-L1	13	12	0	0.31	0.15	0.54	0.15	0	0	12.89	1.08	0
1410_1700_B	1410_1700_C	1410_1700	1410_1700_CB	L1-L2	10	9	0	0.1	0	0.8	0.2	0.1	0	10.427	1.11	0
1410_1700_C	1410_1700_A	1410_1700	1410_1700_CA	L2-L1	67	29	23	0.18	0.01	0.73	0.22	0.04	0	118.687	2.31	0.34
1410_1700_C	1410_1700_B	1410_1700	1410_1700_CB	L2-L1	41	20	13	0.15	0.07	0.63	0.34	0.05	0	78.28	2.05	0.32
1410_1830_A	1410_1830_B	1410_1830	1410_1830_AB	L1-L1	10	6	2	0.2	0.2	0.1	0.6	0	0.1	12.573	1.67	0.2
1410_1830_A	1410_1830_C	1410_1830	1410_1830_CA	L1-L2	25	22	1	0.08	0.08	0.48	0.24	0.36	0.12	35.206	1.14	0.04
1410_1830_B	1410_1830_A	1410_1830	1410_1830_AB	L1-L1	20	17	1	0.35	0.3	0.25	0.15	0.1	0	24.797	1.18	0.05
1410_1830_B	1410_1830_C	1410_1830	1410_1830_CB	L1-L2	10	9	0	0.1	0	0.3	0.4	0	0.3	8.077	1.11	0
1410_1830_C	1410_1830_A	1410_1830	1410_1830_CA	L2-L1	33	29	0	0.45	0.21	0.15	0.18	0.15	0.03	40.55	1.14	0
1410_1830_C	1410_1830_B	1410_1830	1410_1830_CB	L2-L1	53	48	0	0.68	0.04	0.21	0.15	0.04	0.02	65.45	1.1	0
1410_1900_A	1410_1900_B	1410_1900	1410_1900_AB	L1-L1	24	21	1	0.62	0	0.33	0.08	0	0	18.288	1.14	0.04
1410_1900_A	1410_1900_C	1410_1900	1410_1900_CA	L1-L2	40	35	1	0.48	0	0.48	0.12	0	0	44.549	1.14	0.03
1410_1900_B	1410_1900_A	1410_1900	1410_1900_AB	L1-L1	31	28	2	0.23	0	0.52	0.35	0	0	38.159	1.11	0.06
1410_1900_B	1410_1900_C	1410_1900	1410_1900_CB	L1-L2	29	22	1	0.03	0.34	0.31	0.31	0.14	0.03	44.062	1.32	0.03
1410_1900_C	1410_1900_A	1410_1900	1410_1900_CA	L2-L1	23	13	4	0.09	0.13	0.57	0.35	0.04	0.13	54.989	1.77	0.17
1410_1900_C	1410_1900_B	1410_1900	1410_1900_CB	L2-L1	35	19	8	0.14	0.17	0.57	0.2	0.06	0.06	85.829	1.84	0.23
