t0	t1	VALUE	ID_participant	ID_partner	ID_dyad	IP_ID	clarity	speech_clean	word_count
211180	212555	euhm en niet te ver	1410_1900_A	1410_1900_C	1410_1900_CA	1410_1900_A_1410_1900_C_211180_212555	ok	te ver	2
212555	214115	ik wil ook niet aan de kust ofzo	1410_1900_A	1410_1900_C	1410_1900_CA	1410_1900_A_1410_1900_C_212555_214115	ok	      kust ofzo	3
214115	216275	gewoon Vlaams-Brabant of Antwerpen misschien	1410_1900_A	1410_1900_C	1410_1900_CA	1410_1900_A_1410_1900_C_214115_216275	ok	gewoon Vlaams-Brabant  Antwerpen misschien	5
216285	218350	maar da's nog zien of Oost-Vlaanderen	1410_1900_A	1410_1900_C	1410_1900_CA	1410_1900_A_1410_1900_C_216285_218350	ok	   zien  Oost-Vlaanderen	4
218350	218955	ja	1410_1900_A	1410_1900_C	1410_1900_CA	1410_1900_A_1410_1900_C_218350_218955	ok		0
218955	220345	ik weet dat nog niet zo goed	1410_1900_A	1410_1900_C	1410_1900_CA	1410_1900_A_1410_1900_C_218955_220345	ok	 weet    zo goed	4
220330	221000	ja	1410_1900_C	1410_1900_A	1410_1900_CA	1410_1900_C_1410_1900_A_220330_221000	ok		0
220825	222255	en werk jij in Leuven	1410_1900_A	1410_1900_C	1410_1900_CA	1410_1900_A_1410_1900_C_220825_222255	ok	 werk   Leuven	3
222450	224280	en school naar Leu in Leuven	1410_1900_A	1410_1900_C	1410_1900_CA	1410_1900_A_1410_1900_C_222450_224280	ok	 school  Leu  Leuven	4
222825	223335	ja	1410_1900_C	1410_1900_A	1410_1900_CA	1410_1900_C_1410_1900_A_222825_223335	ok		0
224120	225700	ja ik werk in Leuven	1410_1900_C	1410_1900_A	1410_1900_CA	1410_1900_C_1410_1900_A_224120_225700	ok	  werk  Leuven	3
225590	226910	ah ja ok ok	1410_1900_A	1410_1900_C	1410_1900_CA	1410_1900_A_1410_1900_C_225590_226910	ok	   	1
226270	226850	ja	1410_1900_C	1410_1900_A	1410_1900_CA	1410_1900_C_1410_1900_A_226270_226850	ok		0
227260	231280	en euhm (met) hoeveel talen spreek jij	1410_1900_C	1410_1900_A	1410_1900_CA	1410_1900_C_1410_1900_A_227260_231280	unclear	 hoeveel talen spreek 	4
231510	232830	ik spreek niet zo veel talen	1410_1900_A	1410_1900_C	1410_1900_CA	1410_1900_A_1410_1900_C_231510_232830	ok	 spreek  zo veel talen	5
232830	234230	ik spe spreek Nederlands	1410_1900_A	1410_1900_C	1410_1900_CA	1410_1900_A_1410_1900_C_232830_234230	ok	 spe spreek Nederlands	4
234230	235450	een beetje Engels	1410_1900_A	1410_1900_C	1410_1900_CA	1410_1900_A_1410_1900_C_234230_235450	ok	 beetje Engels	3
235470	236890	een heel klein beetje Frans	1410_1900_A	1410_1900_C	1410_1900_CA	1410_1900_A_1410_1900_C_235470_236890	ok	 heel klein beetje Frans	5
236900	239100	allez kan euhm een ja heel klein beetje	1410_1900_A	1410_1900_C	1410_1900_CA	1410_1900_A_1410_1900_C_236900_239100	ok	  heel klein beetje	4
239100	239840	en jij	1410_1900_A	1410_1900_C	1410_1900_CA	1410_1900_A_1410_1900_C_239100_239840	ok	 	1
